schema_version,campaign_id,stage_mode,attempt_id,global_seq,abs_b_deg,abs_c_deg,acquisition_try,pass_id,contact_id,pre_raw_count,pre_mux_count,pre_gated_count,post_raw_count,post_mux_count,post_gated_count,ready_raw_count,ready_mux_count,ready_gated_count,probe_result,travel_mm,raw_delta,mux_delta,gated_delta,repeat_raw_delta,repeat_mux_delta,repeat_gated_delta,extra_raw_minus_gated_delta,chatter_observed,quiet_episode_count,quiet_elapsed_s,quiet_reset_count,consistency_fault,release_fault,terminal_failure
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,1.000000,2.000000,1695.000000,1695.000000,651.000000,1696.000000,1696.000000,652.000000,1696.000000,1696.000000,652.000000,1.000000,4.027093,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,1.000000,3.000000,1696.000000,1696.000000,652.000000,1697.000000,1697.000000,653.000000,1697.000000,1697.000000,653.000000,1.000000,3.849218,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,1.000000,4.000000,1697.000000,1697.000000,653.000000,1698.000000,1698.000000,654.000000,1698.000000,1698.000000,654.000000,1.000000,4.053302,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,2.000000,1.000000,1698.000000,1698.000000,654.000000,1699.000000,1699.000000,655.000000,1699.000000,1699.000000,655.000000,1.000000,5.001093,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,2.000000,2.000000,1699.000000,1699.000000,655.000000,1700.000000,1700.000000,656.000000,1700.000000,1700.000000,656.000000,1.000000,4.000896,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,2.000000,3.000000,1700.000000,1700.000000,656.000000,1701.000000,1701.000000,657.000000,1701.000000,1701.000000,657.000000,1.000000,3.945026,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,2.000000,4.000000,1701.000000,1701.000000,657.000000,1702.000000,1702.000000,658.000000,1702.000000,1702.000000,658.000000,1.000000,3.962494,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,29.000000,10.000000,270.000000,1.000000,1.000000,1.000000,1702.000000,1702.000000,658.000000,1703.000000,1703.000000,659.000000,1703.000000,1703.000000,659.000000,1.000000,4.997676,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,29.000000,10.000000,270.000000,1.000000,1.000000,2.000000,1703.000000,1703.000000,659.000000,1704.000000,1704.000000,660.000000,1704.000000,1704.000000,660.000000,1.000000,3.993603,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,29.000000,10.000000,270.000000,1.000000,1.000000,3.000000,1704.000000,1704.000000,660.000000,1705.000000,1705.000000,661.000000,1705.000000,1705.000000,661.000000,1.000000,3.794009,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
